IPA,count,word_count
.,30049,12152
ɐ,10376,7253
ɾ,8132,6709
u,7926,6374
i,7620,5896
t,5546,4854
a,4968,4760
ɨ,4842,4084
d,3741,3173
l,3580,3415
s,3537,3221
k,3525,3280
p,2525,2396
m,2500,2372
ʃ,2321,2248
n,1924,1848
ẽ,1503,1432
v,1486,1424
b,1479,1418
j,1364,1341
w,1316,1287
f,1315,1298
z,1224,1213
ɔ,1210,1121
ʒ,1199,1166
g,1193,1170
ɛ,1187,1162
ʀ,1121,1111
o,795,784
e,707,698
ĩ,679,669
õ,600,595
ʎ,298,298
ɲ,208,208
ũ,145,143
kʷ,140,137
\,2,2
ŋ,1,1
